,Unnamed: 0,BathroomCount,BedroomCount,ConstructionYear,Country,District,Fireplace,FloodingZone,Furnished,Garden,GardenArea,Kitchen,LivingArea,Locality,MonthlyCharges,NumberOfFacades,PEB,PostalCode,Price,PropertyId,Province,Region,RoomCount,ShowerCount,StateOfBuilding,SubtypeOfProperty,SurfaceOfPlot,SwimmingPool,Terrace,ToiletCount,TypeOfProperty,TypeOfSale
6,15,4.0,6,1970.0,Belgium,Nivelles,1.0,NON_FLOOD_ZONE,,1.0,2519.0,INSTALLED,425.0,WATERLOO,0.0,4.0,C,1410,5500,10956598,Walloon Brabant,Wallonie,,0.0,GOOD,villa,2519.0,,1.0,5.0,1,residential_monthly_rent
170,314,4.0,6,,Belgium,Brussels,,NON_FLOOD_ZONE,,,,HYPER_EQUIPPED,800.0,Uccle,0.0,4.0,D,1180,12000,10952639,Brussels,Brussels,,,AS_NEW,villa,0.0,1.0,1.0,6.0,1,residential_monthly_rent
388,642,3.0,5,,Belgium,Leuven,1.0,,,,,,210.0,Tervuren,0.0,4.0,C,3080,2750,10947896,Flemish Brabant,Flanders,16.0,0.0,AS_NEW,villa,496.0,0.0,1.0,3.0,1,residential_monthly_rent
493,804,3.0,4,,Belgium,Halle-Vilvoorde,,NON_FLOOD_ZONE,,1.0,680.0,HYPER_EQUIPPED,289.0,Linkebeek,0.0,4.0,D,1630,4500,10945272,Flemish Brabant,Flanders,,,AS_NEW,villa,2500.0,0.0,1.0,3.0,1,residential_monthly_rent
622,995,,1,,Belgium,Philippeville,,,0.0,,,SEMI_EQUIPPED,58.0,Nismes,,2.0,G,5670,39000,10943657,Namur,Wallonie,,1.0,,house,35.0,,,1.0,1,residential_sale
652,1069,1.0,2,,Belgium,Liège,1.0,,,,,HYPER_EQUIPPED,117.0,JUPRELLE,,4.0,A,4458,1305,10942875,Liège,Wallonie,,1.0,AS_NEW,villa,1110.0,,,2.0,1,annuity_without_lump_sum
737,1261,2.0,3,2023.0,Belgium,Halle-Vilvoorde,,,,,,INSTALLED,240.0,Meise,0.0,4.0,A,1860,1950,10940640,Flemish Brabant,Flanders,,,GOOD,house,0.0,0.0,,0.0,1,residential_monthly_rent
812,1356,3.0,4,2010.0,Belgium,Brussels,,,,,,,300.0,Uccle,0.0,4.0,D,1180,4500,10938962,Brussels,Brussels,,,,villa,1500.0,,1.0,3.0,1,residential_monthly_rent
880,1459,1.0,3,,Belgium,Verviers,,,,,,INSTALLED,108.0,Stavelot,0.0,,B,4970,1000,10936617,Liège,Wallonie,11.0,,GOOD,house,520.0,,,1.0,1,residential_monthly_rent
895,1488,1.0,4,,Belgium,Arlon,1.0,,,1.0,1.0,,,Arlon,125.0,2.0,D,6700,1975,10936141,Luxembourg,Wallonie,,3.0,AS_NEW,house,0.0,0.0,1.0,3.0,1,residential_monthly_rent
